Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Marcelo Hermes,Criciúma,22,BRA,LB,29-072,90.0,0,1,0,0,3,0,0,0,60.0,1.0,2,1.0,0.1,0.1,0.1,1.0,1.0,31.0,49.0,"63,3",3.0,31.0,0.0,1.0,0.0,2024-04-13
Walisson Maia,Criciúma,33,BRA,CB,32-236,90.0,0,0,0,0,0,0,0,0,46.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,"82,9",1.0,30.0,0.0,0.0,0.0,2024-04-13
Rodrigo Fagundes,Criciúma,3,BRA,CB,37-034,90.0,0,0,0,0,0,0,0,0,78.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,60.0,72.0,"83,3",4.0,52.0,0.0,0.0,0.0,2024-04-13
Claudinho,Criciúma,27,BRA,RB,23-202,77.0,0,0,0,0,0,0,0,0,75.0,3.0,4,2.0,0.0,0.0,0.0,2.0,0.0,50.0,58.0,"86,2",3.0,44.0,2.0,2.0,1.0,2024-04-13
Yerson Candelo,Criciúma,19,COL,RB,32-049,13.0,0,0,0,0,0,0,0,0,19.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,16.0,"75,0",0.0,11.0,0.0,0.0,0.0,2024-04-13
Alisson,Criciúma,25,BRA,GK,28-310,90.0,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,36.0,"69,4",0.0,18.0,0.0,0.0,0.0,2024-04-13
Gilberto,Juventude,9,BRA,FW,34-313,17.0,0,0,0,0,1,0,0,0,5.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,"66,7",0.0,0.0,0.0,0.0,0.0,2024-04-13
Erick,Juventude,7,BRA,FW,27-101,73.0,0,0,0,0,1,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,"83,3",3.0,12.0,0.0,3.0,1.0,2024-04-13
Jean Carlos Vicente,Juventude,20,BRA,FW,32-058,90.0,1,0,0,0,1,1,1,0,49.0,2.0,1,1.0,0.1,0.1,0.1,4.0,1.0,24.0,39.0,"61,5",7.0,29.0,1.0,0.0,0.0,2024-04-13
Nenê,Juventude,10,BRA,LM,42-269,60.0,0,0,0,0,2,1,0,0,39.0,0.0,1,1.0,0.1,0.1,0.1,2.0,0.0,19.0,30.0,"63,3",5.0,19.0,2.0,4.0,2.0,2024-04-13
Marcelinho,Juventude,11,BRA,LM,21-124,30.0,0,0,0,0,2,1,0,0,14.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,9.0,"77,8",0.0,10.0,0.0,1.0,1.0,2024-04-13
Caíque de Jesus Gonçalves,Juventude,95,BRA,CM,28-186,72.0,0,0,0,0,1,0,1,0,62.0,5.0,0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,55.0,"87,3",2.0,33.0,0.0,0.0,0.0,2024-04-13
Thiaguinho,Juventude,8,BRA,CM,27-002,18.0,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,"66,7",0.0,4.0,0.0,1.0,1.0,2024-04-13
Jadson,Juventude,16,BRA,CM,30-227,90.0,0,1,0,0,1,1,0,0,65.0,2.0,2,2.0,0.0,0.0,0.2,8.0,1.0,47.0,54.0,"87,0",7.0,30.0,0.0,2.0,1.0,2024-04-13
Lucas Barbosa,Juventude,21,BRA,RM,23-051,71.0,0,0,0,0,4,0,0,0,54.0,3.0,0,3.0,0.1,0.1,0.0,3.0,0.0,24.0,36.0,"66,7",3.0,27.0,1.0,3.0,1.0,2024-04-13
Rildo,Juventude,37,BRA,RM,24-083,19.0,0,0,0,0,1,0,0,0,13.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,"77,8",1.0,3.0,1.0,0.0,0.0,2024-04-13
Gabriel Inocêncio,Juventude,12,BRA,LB,29-237,90.0,0,0,0,0,0,0,0,0,73.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,64.0,"85,9",4.0,36.0,5.0,9.0,6.0,2024-04-13
Zé Marcos,Juventude,3,BRA,CB,26-072,90.0,0,0,0,0,1,0,1,0,69.0,1.0,1,2.0,0.1,0.1,0.0,0.0,0.0,39.0,57.0,"68,4",2.0,31.0,1.0,0.0,0.0,2024-04-13
Rodrigo Sam,Juventude,34,BRA,CB,28-264,90.0,0,0,0,0,0,0,1,0,53.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,46.0,"91,3",1.0,24.0,0.0,0.0,0.0,2024-04-13
João Lucas,Juventude,2,BRA,RB,26-035,90.0,0,0,0,0,0,0,1,0,78.0,3.0,1,2.0,0.0,0.0,0.0,4.0,0.0,51.0,66.0,"77,3",7.0,38.0,7.0,5.0,4.0,2024-04-13
Gabriel,Juventude,1,BRA,GK,31-199,90.0,0,0,0,0,0,0,1,0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,"90,0",0.0,9.0,0.0,0.0,0.0,2024-04-13
Lucca Holanda,Internacional,45,BRA,FW,21-011,45.0,0,0,0,0,0,0,0,0,12.0,1.0,0,0.0,0.0,0.0,0.2,2.0,0.0,7.0,9.0,"77,8",1.0,6.0,1.0,1.0,0.0,2024-04-13
Wesley,Internacional,21,BRA,FW,25-014,45.0,1,0,0,0,1,1,0,0,33.0,2.0,0,1.0,0.1,0.1,0.4,1.0,0.0,18.0,26.0,"69,2",0.0,21.0,4.0,2.0,1.0,2024-04-13
Rafael Borré,Internacional,19,COL,FW,28-211,90.0,0,0,0,0,6,4,0,0,33.0,2.0,0,1.0,1.1,1.1,0.0,1.0,0.0,13.0,19.0,"68,4",0.0,15.0,1.0,1.0,0.0,2024-04-13
Wanderson,Internacional,11,BRA,LM,29-189,75.0,0,0,0,0,2,0,0,0,28.0,1.0,0,1.0,0.1,0.1,0.4,1.0,0.0,12.0,21.0,"57,1",1.0,18.0,3.0,4.0,2.0,2024-04-13
Lucas Alario,Internacional,31,ARG,LM,31-188,15.0,0,0,0,0,0,0,1,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,"66,7",0.0,2.0,0.0,0.0,0.0,2024-04-13
Bruno Gomes,Internacional,15,BRA,CM,23-009,45.0,0,0,0,0,0,0,0,0,46.0,4.0,1,0.0,0.0,0.0,0.0,3.0,0.0,33.0,41.0,"80,5",4.0,29.0,2.0,1.0,0.0,2024-04-13
Bruno Henrique,Internacional,8,BRA,CM,34-175,45.0,0,1,0,0,1,0,0,0,33.0,1.0,0,2.0,0.0,0.0,0.1,3.0,1.0,23.0,23.0,"100,0",0.0,22.0,0.0,0.0,0.0,2024-04-13
Thiago Maia,Internacional,29,BRA,CM,27-021,45.0,0,0,0,0,1,1,0,0,40.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,34.0,36.0,"94,4",2.0,26.0,0.0,1.0,1.0,2024-04-13
Gabriel Mercado,Internacional,25,ARG,CB,37-026,45.0,0,0,0,0,0,0,1,0,34.0,1.0,2,0.0,0.0,0.0,0.0,3.0,2.0,28.0,31.0,"90,3",4.0,26.0,0.0,0.0,0.0,2024-04-13
Mauricio,Internacional,27,BRA,RM,22-327,82.0,0,0,0,0,2,1,1,0,40.0,2.0,1,1.0,0.1,0.1,0.1,6.0,0.0,24.0,31.0,"77,4",2.0,27.0,3.0,0.0,0.0,2024-04-13
Gustavo Prado,Internacional,47,BRA,RM,18-312,8.0,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"100,0",0.0,2.0,0.0,3.0,2.0,2024-04-13
Renê,Internacional,6,BRA,LB,31-212,90.0,0,0,0,0,1,1,0,0,62.0,2.0,1,1.0,0.3,0.3,0.0,4.0,0.0,43.0,53.0,"81,1",7.0,34.0,3.0,0.0,0.0,2024-04-13
Fernando,Internacional,5,BRA,"CM,CB",36-263,90.0,1,0,0,0,1,1,1,0,83.0,2.0,1,2.0,0.1,0.1,0.1,3.0,1.0,70.0,77.0,"90,9",4.0,49.0,3.0,0.0,0.0,2024-04-13
Vitão,Internacional,44,BRA,CB,24-071,90.0,0,0,0,0,1,0,0,0,97.0,2.0,3,2.0,0.1,0.1,0.0,1.0,0.0,80.0,90.0,"88,9",8.0,74.0,7.0,0.0,0.0,2024-04-13
Fabricio Bustos,Internacional,16,ARG,RB,27-351,90.0,0,0,0,0,1,0,1,0,89.0,3.0,1,0.0,0.0,0.0,0.1,2.0,0.0,62.0,79.0,"78,5",6.0,54.0,0.0,1.0,1.0,2024-04-13
Sergio Rochet,Internacional,1,URU,GK,31-021,90.0,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,"66,7",0.0,14.0,0.0,0.0,0.0,2024-04-13
Oscar Estupiñan,Bahia,29,COL,FW,27-106,45.0,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,"55,6",0.0,5.0,0.0,1.0,0.0,2024-04-13
Cauly Oliveira Souza,Bahia,8,BRA,FW,28-211,45.0,0,0,0,0,1,1,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,"85,0",5.0,14.0,2.0,2.0,1.0,2024-04-13
Thaciano,Bahia,16,BRA,FW,28-337,79.0,0,0,0,0,2,1,0,0,28.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,20.0,"65,0",1.0,19.0,1.0,0.0,0.0,2024-04-13
Everaldo Stum,Bahia,9,BRA,FW,32-283,11.0,0,0,0,0,1,0,1,0,5.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,"66,7",1.0,3.0,0.0,1.0,0.0,2024-04-13
Jean Lucas,Bahia,6,BRA,LM,25-296,90.0,0,1,0,0,1,1,1,0,47.0,0.0,1,0.0,0.2,0.2,0.1,4.0,1.0,25.0,32.0,"78,1",7.0,30.0,1.0,9.0,7.0,2024-04-13
Caio Alexandre,Bahia,19,BRA,CM,25-049,63.0,0,0,0,0,0,0,0,0,49.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,46.0,"91,3",2.0,23.0,1.0,0.0,0.0,2024-04-13
Biel,Bahia,11,BRA,CM,23-012,27.0,1,0,0,0,1,1,0,0,9.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,5.0,8.0,"62,5",1.0,8.0,1.0,0.0,0.0,2024-04-13
Rezende,Bahia,5,BRA,CM,29-102,90.0,0,0,0,0,0,0,0,0,61.0,7.0,1,1.0,0.0,0.0,0.0,0.0,0.0,44.0,48.0,"91,7",4.0,26.0,1.0,0.0,0.0,2024-04-13
Everton Ribeiro,Bahia,10,BRA,RM,35-003,79.0,0,0,0,0,1,0,0,0,55.0,0.0,2,1.0,0.0,0.0,0.0,2.0,1.0,44.0,48.0,"91,7",5.0,38.0,0.0,1.0,0.0,2024-04-13
Carlos de Pena,Bahia,14,URU,RM,32-033,11.0,0,0,0,0,0,0,1,0,11.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,"54,5",0.0,7.0,1.0,0.0,0.0,2024-04-13
Luciano Juba,Bahia,46,BRA,LB,24-228,90.0,0,0,0,0,1,0,0,0,83.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,57.0,68.0,"83,8",3.0,30.0,1.0,3.0,0.0,2024-04-13
Víctor Cuesta,Bahia,15,ARG,CB,35-146,90.0,0,0,0,0,0,0,0,0,56.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,44.0,"90,9",2.0,28.0,0.0,0.0,0.0,2024-04-13
Kanu,Bahia,4,BRA,CB,27-037,90.0,0,0,0,0,0,0,0,0,61.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,"73,6",0.0,29.0,0.0,1.0,0.0,2024-04-13
Santiago Arias,Bahia,13,COL,RB,32-091,90.0,0,0,0,0,0,0,0,0,66.0,2.0,0,2.0,0.0,0.0,0.3,5.0,0.0,48.0,59.0,"81,4",6.0,35.0,2.0,1.0,0.0,2024-04-13
Marcos Felipe,Bahia,22,BRA,GK,28-000,90.0,0,0,0,0,0,0,0,0,43.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,"75,0",0.0,25.0,0.0,0.0,0.0,2024-04-13
Pablo,Athletico Paranaense,92,BRA,FW,31-296,72.0,1,0,0,0,3,2,0,0,46.0,0.0,0,0.0,0.4,0.4,0.0,4.0,0.0,35.0,38.0,"92,1",4.0,27.0,1.0,0.0,0.0,2024-04-14
Gonzalo Mastriani,Athletico Paranaense,9,URU,FW,30-352,18.0,1,0,0,0,1,1,0,0,5.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,3.0,3.0,"100,0",0.0,1.0,0.0,0.0,0.0,2024-04-14
Agustín Canobbio,Athletico Paranaense,14,URU,"FW,LM",25-196,82.0,1,1,0,0,4,2,0,0,50.0,1.0,0,0.0,0.3,0.3,0.8,6.0,1.0,34.0,38.0,"89,5",8.0,31.0,4.0,0.0,0.0,2024-04-14
José Vitor Silva Neves,Athletico Paranaense,30,BRA,LM,23-348,8.0,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,"86,7",0.0,10.0,0.0,2.0,1.0,2024-04-14
Fernandinho,Athletico Paranaense,5,BRA,AM,38-346,90.0,0,1,0,0,2,2,0,0,112.0,0.0,3,1.0,0.1,0.1,0.2,10.0,2.0,86.0,104.0,"82,7",16.0,70.0,0.0,1.0,0.0,2024-04-14
Tomás Cuello,Athletico Paranaense,28,ARG,LM,24-040,72.0,0,0,0,0,2,0,0,0,48.0,2.0,1,0.0,0.1,0.1,0.1,5.0,0.0,31.0,40.0,"77,5",3.0,33.0,2.0,3.0,3.0,2024-04-14
Bruno Zapelli,Athletico Paranaense,10,ARG,RM,21-333,18.0,0,1,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.2,1.0,1.0,15.0,17.0,"88,2",1.0,11.0,0.0,0.0,0.0,2024-04-14
Julimar,Athletico Paranaense,20,BRA,RM,23-080,72.0,0,1,0,0,4,1,0,0,29.0,1.0,2,0.0,0.7,0.7,0.2,2.0,1.0,17.0,21.0,"81,0",3.0,20.0,5.0,3.0,1.0,2024-04-14
Alex Santana,Athletico Paranaense,80,BRA,FW,28-337,18.0,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,"100,0",0.0,10.0,1.0,1.0,0.0,2024-04-14
Erick,Athletico Paranaense,26,BRA,DM,26-152,82.0,0,0,0,0,1,0,0,0,65.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,55.0,60.0,"91,7",3.0,43.0,0.0,0.0,0.0,2024-04-14
Filipinho,Athletico Paranaense,23,BRA,DM,22-179,8.0,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,"100,0",0.0,3.0,0.0,1.0,1.0,2024-04-14
Lucas Esquivel,Athletico Paranaense,37,ARG,LB,22-183,90.0,0,0,0,0,1,0,0,0,100.0,4.0,0,0.0,0.0,0.0,0.1,6.0,1.0,72.0,89.0,"80,9",5.0,66.0,2.0,3.0,1.0,2024-04-14
Thiago Heleno,Athletico Paranaense,44,BRA,CB,35-210,90.0,0,0,0,0,0,0,0,0,63.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,56.0,60.0,"93,3",2.0,37.0,0.0,0.0,0.0,2024-04-14
Kaique Rocha,Athletico Paranaense,4,BRA,CB,23-046,90.0,0,0,0,0,1,0,0,0,51.0,3.0,1,1.0,0.1,0.1,0.0,0.0,0.0,38.0,45.0,"84,4",2.0,28.0,0.0,0.0,0.0,2024-04-14
Leonardo Godoy,Athletico Paranaense,29,ARG,RB,28-352,90.0,1,0,0,0,1,1,0,0,63.0,0.0,1,0.0,0.1,0.1,0.0,2.0,1.0,46.0,59.0,"78,0",2.0,37.0,1.0,1.0,1.0,2024-04-14
Bento,Athletico Paranaense,1,BRA,GK,24-309,90.0,0,0,0,0,0,0,0,0,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,"88,9",0.0,13.0,0.0,0.0,0.0,2024-04-14
Deyverson,Cuiabá,16,BRA,FW,32-342,76.0,0,0,0,0,0,0,0,0,25.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,"71,4",1.0,10.0,0.0,1.0,1.0,2024-04-14
Isidro Pitta,Cuiabá,9,PAR,FW,24-244,14.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"100,0",0.0,2.0,0.0,1.0,0.0,2024-04-14
Clayson,Cuiabá,25,BRA,LM,29-026,61.0,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,"84,2",3.0,16.0,0.0,0.0,0.0,2024-04-14
Jonathan Cafu,Cuiabá,7,BRA,"RM,LM",32-279,29.0,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,"37,5",0.0,5.0,0.0,1.0,0.0,2024-04-14
Lucas Mineiro,Cuiabá,30,BRA,CM,28-050,90.0,0,0,0,0,0,0,0,0,36.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,"76,9",1.0,15.0,0.0,0.0,0.0,2024-04-14
Fernando Sobral,Cuiabá,88,BRA,CM,29-119,61.0,0,0,0,0,0,0,0,0,40.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,33.0,"81,8",2.0,18.0,0.0,0.0,0.0,2024-04-14
Max,Cuiabá,10,BRA,CM,22-338,15.0,0,0,0,0,0,0,0,0,9.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,"80,0",0.0,2.0,1.0,0.0,0.0,2024-04-14
Filipe Augusto,Cuiabá,5,BRA,CM,30-246,14.0,0,0,0,0,0,0,1,0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,"100,0",1.0,4.0,1.0,1.0,1.0,2024-04-14
Derik Lacerda,Cuiabá,22,BRA,RM,24-200,61.0,0,0,0,0,1,0,1,0,23.0,0.0,1,1.0,0.3,0.3,0.0,0.0,0.0,9.0,10.0,"90,0",1.0,11.0,0.0,2.0,0.0,2024-04-14
André Luis,Cuiabá,97,BRA,"LM,RM",26-359,29.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,"75,0",0.0,5.0,1.0,2.0,0.0,2024-04-14
Rikelme,Cuiabá,20,BRA,LB,20-273,90.0,0,0,0,0,0,0,0,0,47.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,23.0,32.0,"71,9",2.0,17.0,1.0,2.0,0.0,2024-04-14
Alan Empereur,Cuiabá,33,BRA,CB,30-035,90.0,0,0,0,0,0,0,1,0,82.0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,57.0,71.0,"80,3",4.0,49.0,1.0,0.0,0.0,2024-04-14
Allyson Aires dos Santos,Cuiabá,3,BRA,CB,33-174,90.0,0,0,0,0,0,0,0,0,48.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,"94,6",1.0,20.0,0.0,0.0,0.0,2024-04-14
Marllon Borges,Cuiabá,4,BRA,CB,31-364,90.0,0,0,0,0,0,0,0,0,54.0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,40.0,44.0,"90,9",2.0,19.0,0.0,0.0,0.0,2024-04-14
Railan,Cuiabá,21,BRA,RB,24-035,90.0,0,0,0,0,0,0,0,0,40.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,"93,1",2.0,14.0,1.0,2.0,0.0,2024-04-14
Walter,Cuiabá,1,BRA,GK,36-148,90.0,0,0,0,0,0,0,0,0,45.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,"82,9",0.0,19.0,0.0,0.0,0.0,2024-04-14
Pablo Vegetti,Vasco da Gama,99,ARG,FW,35-182,90.0,0,0,0,0,5,1,0,0,40.0,0.0,0,1.0,0.3,0.3,0.0,2.0,0.0,14.0,25.0,"56,0",2.0,26.0,0.0,2.0,0.0,2024-04-14
David,Vasco da Gama,7,BRA,LW,28-180,85.0,1,0,0,0,2,1,0,0,45.0,2.0,0,0.0,0.2,0.2,0.0,2.0,1.0,28.0,33.0,"84,8",4.0,28.0,1.0,2.0,2.0,2024-04-14
Adson,Vasco da Gama,28,BRA,LW,23-191,5.0,0,0,0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,9.0,"100,0",1.0,8.0,0.0,0.0,0.0,2024-04-14
Rossi,Vasco da Gama,31,BRA,RW,30-358,63.0,0,1,0,0,0,0,1,0,33.0,0.0,0,2.0,0.0,0.0,0.3,6.0,2.0,20.0,29.0,"69,0",1.0,19.0,2.0,0.0,0.0,2024-04-14
Rayan Vitor,Vasco da Gama,77,BRA,RW,17-255,27.0,0,0,0,0,4,0,0,0,15.0,1.0,0,0.0,0.3,0.3,0.0,1.0,0.0,6.0,6.0,"100,0",0.0,8.0,0.0,2.0,1.0,2024-04-14
Mateus Cocão,Vasco da Gama,85,BRA,LM,22-027,90.0,1,0,0,0,2,1,0,0,68.0,1.0,0,2.0,0.1,0.1,0.0,3.0,1.0,48.0,58.0,"82,8",9.0,48.0,3.0,3.0,3.0,2024-04-14
Juan Sforza,Vasco da Gama,20,ARG,CM,22-060,90.0,0,0,0,0,0,0,1,0,63.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,50.0,57.0,"87,7",1.0,36.0,0.0,0.0,0.0,2024-04-14
Pablo Galdames Millán,Vasco da Gama,27,CHI,RM,27-106,73.0,0,0,0,0,0,0,0,0,31.0,2.0,0,1.0,0.0,0.0,0.0,2.0,0.0,23.0,25.0,"92,0",5.0,19.0,1.0,1.0,0.0,2024-04-14
João Pedro,Vasco da Gama,98,BRA,RM,18-361,17.0,0,0,0,0,0,0,0,0,16.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,10.0,"80,0",2.0,8.0,1.0,0.0,0.0,2024-04-14
Lucas Piton,Vasco da Gama,6,BRA,LB,23-188,90.0,0,0,0,0,0,0,0,0,68.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,49.0,59.0,"83,1",2.0,34.0,3.0,3.0,3.0,2024-04-14
Léo Pelé,Vasco da Gama,3,BRA,CB,28-039,90.0,0,0,0,0,0,0,1,0,61.0,4.0,0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,50.0,"96,0",3.0,39.0,2.0,0.0,0.0,2024-04-14
Gary Medel,Vasco da Gama,17,CHI,CB,36-255,63.0,0,0,0,0,0,0,0,0,45.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,"87,5",1.0,29.0,0.0,0.0,0.0,2024-04-14
João Victor,Vasco da Gama,38,BRA,"CB,RB",25-272,27.0,0,0,0,0,0,0,1,0,22.0,2.0,1,1.0,0.0,0.0,0.2,2.0,0.0,11.0,16.0,"68,8",1.0,11.0,1.0,1.0,1.0,2024-04-14
Paulo Henrique,Vasco da Gama,96,BRA,RB,27-264,86.0,0,0,0,0,2,0,0,0,60.0,4.0,2,2.0,0.0,0.0,0.0,2.0,0.0,32.0,42.0,"76,2",5.0,25.0,1.0,6.0,4.0,2024-04-14
Robert Rojas,Vasco da Gama,32,PAR,CB,27-350,4.0,0,0,0,0,0,0,0,0,11.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,"100,0",0.0,6.0,0.0,0.0,0.0,2024-04-14
Léo Jardim,Vasco da Gama,1,BRA,GK,29-025,90.0,0,0,0,0,0,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,"91,7",0.0,18.0,0.0,0.0,0.0,2024-04-14
Diego Costa,Grêmio,19,ESP,FW,35-190,45.0,0,0,0,0,1,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,"80,0",3.0,8.0,0.0,2.0,0.0,2024-04-14
Yeferson Soteldo,Grêmio,7,VEN,LW,26-289,57.0,0,0,0,0,1,0,0,0,21.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,"64,3",0.0,15.0,2.0,3.0,1.0,2024-04-14
